r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.43,183.17,0.00,25.93,0.00,e,3.37,159.49,-0.21,26.59,0.00,b,0
3.43,145.96,0.00,22.49,0.00,e,3.25,147.39,4.15,22.23,0.00,c,1
3.33,148.42,0.00,21.31,0.00,e,3.35,147.48,1.22,20.89,0.00,e,2
3.53,174.27,0.00,25.90,0.00,e,3.27,153.49,2.78,25.06,0.00,g,3
3.37,159.68,0.00,20.24,0.00,f,3.26,159.35,4.35,19.99,0.00,b,4
3.52,137.73,0.00,10.00,0.00,f,3.49,159.27,-3.16,10.00,0.00,c,5
3.84,159.47,0.00,10.00,0.00,f,3.25,196.83,4.24,12.86,0.00,e,6
3.49,152.37,0.00,22.50,0.00,f,3.37,132.67,1.39,20.68,0.00,g,7
3.25,147.35,0.00,20.82,0.00,g,3.43,145.75,2.80,20.54,0.00,b,8
3.41,144.88,0.00,20.99,0.00,g,3.25,143.66,1.24,20.61,0.00,c,9
3.38,152.24,0.00,21.96,0.00,g,3.26,157.53,-1.74,21.81,0.00,e,10
3.53,150.89,0.00,10.09,0.00,g,3.51,178.47,-0.17,10.44,0.00,g,11
3.34,180.44,0.00,25.31,0.00,e,3.48,155.57,-0.18,25.41,0.00,b,12
3.25,158.76,0.00,21.56,0.00,e,3.41,159.20,4.31,21.32,0.00,c,13
3.25,146.55,0.00,22.38,0.00,e,3.42,147.98,1.26,22.09,0.00,e,14
3.27,156.86,0.00,21.73,0.00,e,3.38,158.96,-1.69,21.72,0.00,g,15
3.32,168.25,0.00,25.61,0.00,f,3.46,149.10,-1.65,25.88,0.00,b,16
3.38,160.93,0.00,20.25,0.00,f,3.25,160.32,2.84,20.06,0.00,c,17
3.41,146.00,0.00,18.85,0.00,f,3.25,141.52,-0.16,18.04,0.00,e,18
3.55,158.55,0.00,27.17,0.00,f,3.25,141.89,1.21,25.53,0.00,g,19
3.33,163.22,0.00,18.74,0.00,g,3.30,160.34,2.93,18.35,0.00,b,20
3.28,144.57,0.00,19.01,0.00,g,3.32,144.05,1.45,18.87,0.00,c,21
3.27,160.47,0.00,21.56,0.00,g,3.41,158.66,-1.78,21.18,0.00,e,22
3.25,159.54,0.00,29.99,0.00,g,3.51,146.31,-0.30,29.99,0.00,g,23
3.26,142.04,0.00,21.66,0.00,e,3.38,144.10,-4.69,21.35,0.00,b,24
3.30,161.15,0.00,20.71,0.00,e,3.34,162.48,4.39,20.49,0.00,c,25
3.54,151.77,0.00,10.06,0.00,e,3.50,182.27,-4.57,10.42,0.00,e,26
3.69,140.43,0.00,10.00,0.00,e,3.33,159.34,2.72,10.89,0.00,g,27
3.44,167.01,0.00,26.38,0.00,f,3.35,147.67,-1.71,26.59,0.00,b,28
3.53,162.72,0.00,10.00,0.00,f,3.50,199.22,-3.03,10.00,0.00,c,29
3.37,147.99,0.00,20.72,0.00,f,3.26,150.23,-0.18,20.38,0.00,e,30
3.37,162.06,0.00,30.00,0.00,f,3.37,149.95,1.20,30.00,0.00,g,31
3.30,128.25,0.00,20.54,0.00,g,3.33,128.37,2.80,20.25,0.00,b,32
3.39,149.18,0.00,20.84,0.00,g,3.25,149.51,1.29,20.54,0.00,c,33
3.47,176.42,0.00,29.93,0.00,g,3.25,160.94,2.66,29.97,0.00,e,34
3.45,145.17,0.00,29.97,0.00,g,3.29,134.90,-0.36,29.78,0.00,g,35
3.40,174.59,0.00,28.05,0.00,e,3.33,157.57,-0.20,28.49,0.00,b,36
3.43,137.05,0.00,27.30,0.00,e,3.36,124.69,-1.77,26.72,0.00,c,37
3.36,150.49,0.00,18.48,0.00,e,3.26,147.94,1.42,18.07,0.00,e,38
3.50,177.60,0.00,27.32,0.00,e,3.26,157.62,2.75,27.01,0.00,g,39
3.37,157.33,0.00,19.90,0.00,f,3.26,156.03,4.37,19.61,0.00,b,40
3.32,167.42,0.00,22.83,0.00,f,3.34,172.25,2.79,22.79,0.00,c,41
3.30,168.39,0.00,20.72,0.00,f,3.35,167.82,-0.17,20.48,0.00,e,42
3.54,139.69,0.00,27.10,0.00,f,3.25,126.74,1.19,27.01,0.00,g,43
3.47,125.97,0.00,26.10,0.00,g,3.25,132.76,2.36,25.96,0.00,b,44
3.39,151.68,0.00,21.31,0.00,g,3.25,152.52,1.27,21.06,0.00,c,45
3.31,147.67,0.00,22.52,0.00,g,3.35,150.66,-1.75,22.17,0.00,e,46
3.38,154.39,0.00,19.92,0.00,g,3.26,152.97,-4.71,19.68,0.00,g,47
3.35,135.19,0.00,18.34,0.00,e,3.25,133.73,-4.58,17.58,0.00,b,48
3.41,158.27,0.00,16.81,0.00,e,3.25,151.57,4.45,16.13,0.00,c,49
3.36,156.47,0.00,21.27,0.00,e,3.28,160.79,1.32,21.13,0.00,e,50
3.52,151.89,0.00,30.00,0.00,e,3.25,141.31,2.53,30.00,0.00,g,51
3.46,158.16,0.00,27.37,0.00,f,3.31,142.17,-1.75,27.34,0.00,b,52
3.38,151.92,0.00,21.98,0.00,f,3.26,155.69,2.77,21.76,0.00,c,53
3.29,143.60,0.00,10.00,0.00,f,3.76,171.30,4.62,10.00,0.00,e,54
3.37,176.94,0.00,29.82,0.00,f,3.40,159.50,1.24,28.74,0.00,g,55
3.25,185.70,0.00,29.32,0.00,g,3.49,166.33,-3.26,29.25,0.00,b,56
3.36,152.31,0.00,21.55,0.00,g,3.30,152.48,1.23,21.25,0.00,c,57
3.36,134.61,0.00,20.18,0.00,g,3.25,135.52,-1.68,19.80,0.00,e,58
3.37,159.09,0.00,21.76,0.00,g,3.27,162.84,-4.74,21.60,0.00,g,59
3.31,161.16,0.00,25.07,0.00,e,3.38,175.11,-4.80,24.91,0.00,b,60
3.38,158.82,0.00,22.26,0.00,e,3.28,163.85,4.28,22.25,0.00,c,61
3.36,150.35,0.00,21.07,0.00,e,3.30,150.18,1.24,20.80,0.00,e,62
3.25,159.54,0.00,28.51,0.00,e,3.47,149.02,2.86,27.67,0.00,g,63
3.29,137.67,0.00,22.13,0.00,f,3.35,140.42,4.29,21.83,0.00,b,64
3.40,127.85,0.00,23.80,0.00,f,3.25,132.90,2.58,23.72,0.00,c,65
3.40,172.16,0.00,19.61,0.00,f,3.25,168.67,-0.15,19.16,0.00,e,66
3.48,178.56,0.00,23.78,0.00,f,3.37,154.20,1.31,23.97,0.00,g,67
3.60,189.32,0.00,22.91,0.00,g,3.25,159.48,-3.17,22.02,0.00,b,68
3.31,149.98,0.00,10.00,0.00,g,3.71,178.99,-4.49,10.00,0.00,c,69
3.27,142.05,0.00,20.76,0.00,g,3.36,142.66,-1.65,20.34,0.00,e,70
3.41,170.50,0.00,27.51,0.00,g,3.37,151.55,-0.19,26.52,0.00,g,71
3.45,156.54,0.00,28.08,0.00,e,3.32,157.66,5.00,27.88,0.00,b,72
3.44,142.68,0.00,23.13,0.00,e,3.25,144.48,4.07,23.01,0.00,c,73
3.40,156.17,0.00,22.31,0.00,e,3.25,162.02,1.26,22.28,0.00,e,74
3.37,156.09,0.00,11.00,0.00,e,3.67,184.58,3.00,10.00,0.00,g,75
3.46,149.69,0.00,10.00,0.00,f,3.58,179.67,-1.51,10.00,0.00,b,76
3.44,135.82,0.00,22.40,0.00,f,3.25,135.31,2.58,22.19,0.00,c,77
3.35,151.24,0.00,19.26,0.00,f,3.27,150.19,-0.13,19.05,0.00,e,78
3.49,171.41,0.00,28.92,0.00,f,3.28,154.53,1.17,27.86,0.00,g,79
3.53,162.47,0.00,21.76,0.00,g,3.32,140.28,-3.11,20.68,0.00,b,80
3.34,147.30,0.00,21.10,0.00,g,3.30,147.71,1.29,20.78,0.00,c,81
3.75,131.80,0.00,10.02,0.00,g,3.30,153.94,2.72,10.11,0.00,e,82
3.41,142.37,0.00,26.87,0.00,g,3.38,129.44,-0.20,26.17,0.00,g,83
3.39,149.45,0.00,25.69,0.00,e,3.39,133.91,-0.14,25.56,0.00,b,84
3.25,139.42,0.00,10.40,0.00,e,3.78,163.47,-1.47,10.00,0.00,c,85
3.40,118.91,0.00,24.13,0.00,e,3.25,124.88,1.06,24.69,0.00,e,86
3.39,150.46,0.00,25.45,0.00,e,3.41,135.29,2.79,24.43,0.00,g,87
3.41,147.77,0.00,14.08,0.00,f,3.25,138.68,4.51,13.66,0.00,b,88
3.34,153.29,0.00,17.33,0.00,f,3.27,150.18,2.99,17.12,0.00,c,89
3.45,157.16,0.00,10.00,0.00,f,3.59,187.96,4.51,10.00,0.00,e,90
3.25,189.23,0.00,24.63,0.00,f,3.57,162.85,1.42,24.54,0.00,g,91
3.39,169.91,0.00,21.16,0.00,g,3.28,168.96,2.77,20.90,0.00,b,92
3.26,170.53,0.00,18.03,0.00,g,3.38,165.81,1.48,17.71,0.00,c,93
3.25,162.27,0.00,30.00,0.00,g,3.50,149.30,2.72,30.00,0.00,e,94
3.42,152.74,0.00,22.03,0.00,g,3.25,152.39,-4.84,21.77,0.00,g,95
3.51,133.48,0.00,28.76,0.00,e,3.25,138.45,5.00,28.52,0.00,b,96
3.35,158.59,0.00,19.25,0.00,e,3.52,135.40,-1.47,18.87,0.00,c,97
3.36,159.72,0.00,20.33,0.00,e,3.27,159.65,1.34,20.12,0.00,e,98
3.32,167.86,0.00,21.01,0.00,e,3.32,170.18,-1.68,21.13,0.00,g,99
3.28,166.64,0.00,22.45,0.00,f,3.41,166.84,4.23,22.29,0.00,b,100
3.26,135.44,0.00,10.06,0.00,f,3.74,154.08,-2.97,10.00,0.00,c,101
3.42,141.52,0.00,24.48,0.00,f,3.25,152.08,-0.35,24.72,0.00,e,102
3.29,145.61,0.00,21.67,0.00,f,3.38,145.68,-3.26,21.26,0.00,g,103
3.32,156.09,0.00,21.94,0.00,g,3.32,159.43,2.80,21.82,0.00,b,104
3.25,182.61,0.00,27.54,0.00,g,3.56,159.25,-4.69,29.11,0.00,c,105
3.41,146.53,0.00,22.64,0.00,g,3.25,150.61,-1.83,22.27,0.00,e,106
3.28,139.02,0.00,10.50,0.00,g,3.73,159.66,-0.02,10.21,0.00,g,107
3.49,161.10,0.00,27.26,0.00,e,3.28,144.51,-0.26,27.08,0.00,b,108
3.25,154.20,0.00,21.12,0.00,e,3.39,155.02,4.37,20.94,0.00,c,109
3.25,145.68,0.00,19.96,0.00,e,3.38,145.01,1.40,19.64,0.00,e,110
3.36,135.42,0.00,30.00,0.00,e,3.39,127.23,2.64,30.00,0.00,g,111
3.35,176.85,0.00,29.99,0.00,f,3.38,160.47,-1.78,30.00,0.00,b,112
3.38,160.47,0.00,20.42,0.00,f,3.27,159.03,2.82,20.08,0.00,c,113
3.28,160.57,0.00,21.33,0.00,f,3.37,161.53,-0.17,21.12,0.00,e,114
3.29,164.02,0.00,30.00,0.00,f,3.47,150.07,1.28,28.87,0.00,g,115
3.42,158.86,0.00,24.94,0.00,g,3.39,139.72,-3.20,25.27,0.00,b,116
3.43,149.11,0.00,19.36,0.00,g,3.25,144.67,1.29,18.80,0.00,c,117
3.37,134.52,0.00,22.17,0.00,g,3.25,139.91,-1.75,21.95,0.00,e,118
3.47,167.26,0.00,30.00,0.00,g,3.26,154.12,-0.35,30.00,0.00,g,119
3.25,129.74,0.00,19.32,0.00,e,3.36,129.17,-4.58,19.12,0.00,b,120
3.47,174.99,0.00,28.61,0.00,e,3.30,156.63,-1.79,28.62,0.00,c,121
3.37,141.19,0.00,10.00,0.00,e,3.65,160.92,-4.53,10.00,0.00,e,122
3.47,160.93,0.00,30.00,0.00,e,3.25,149.02,2.64,30.00,0.00,g,123
3.52,162.32,0.00,27.72,0.00,f,3.25,145.02,-1.82,28.26,0.00,b,124
3.28,151.99,0.00,18.21,0.00,f,3.35,148.94,2.96,17.88,0.00,c,125
3.31,142.91,0.00,19.53,0.00,f,3.31,142.31,-0.12,19.11,0.00,e,126
3.65,142.52,0.00,10.25,0.00,f,3.37,164.27,1.28,10.42,0.00,g,127
3.48,162.49,0.00,29.89,0.00,g,3.25,149.10,-3.37,30.00,0.00,b,128
3.29,157.57,0.00,19.22,0.00,g,3.33,155.90,1.42,18.95,0.00,c,129
3.27,145.96,0.00,23.51,0.00,g,3.42,148.80,-1.81,23.10,0.00,e,130
3.31,127.23,0.00,10.29,0.00,g,3.71,144.42,-0.04,10.00,0.00,g,131
3.33,158.84,0.00,25.58,0.00,e,3.47,141.25,-0.15,26.57,0.00,b,132
3.25,156.70,0.00,26.33,0.00,e,3.56,139.62,-1.76,27.95,0.00,c,133
3.41,157.69,0.00,23.98,0.00,e,3.25,166.22,1.18,23.96,0.00,e,134
3.27,146.54,0.00,19.99,0.00,e,3.37,144.63,-1.66,19.72,0.00,g,135
3.45,166.53,0.00,21.30,0.00,f,3.25,163.46,4.21,20.88,0.00,b,136
3.25,159.69,0.00,28.90,0.00,f,3.50,146.13,-3.24,29.81,0.00,c,137
3.28,130.47,0.00,21.38,0.00,f,3.37,130.96,-0.23,21.10,0.00,e,138
3.52,165.26,0.00,27.72,0.00,f,3.25,147.41,1.26,26.40,0.00,g,139
3.25,150.97,0.00,22.39,0.00,g,3.44,150.90,2.72,21.99,0.00,b,140
3.40,134.10,0.00,21.14,0.00,g,3.25,133.62,1.21,20.84,0.00,c,141
3.42,146.06,0.00,30.00,0.00,g,3.27,137.21,2.58,27.19,0.00,e,142
3.55,161.24,0.00,25.76,0.00,g,3.25,143.38,-0.22,24.76,0.00,g,143
3.31,160.37,0.00,21.01,0.00,e,3.32,164.21,-4.66,21.01,0.00,b,144
3.46,155.40,0.00,10.00,0.00,e,3.56,184.04,-1.50,10.00,0.00,c,145
3.47,145.01,0.00,24.58,0.00,e,3.25,150.16,0.95,24.37,0.00,e,146
3.56,148.87,0.00,12.60,0.00,e,3.48,168.19,2.72,12.66,0.00,g,147
3.37,155.43,0.00,19.16,0.00,f,3.25,153.71,4.39,18.82,0.00,b,148
3.36,150.59,0.00,18.58,0.00,f,3.25,148.49,2.93,18.18,0.00,c,149
3.54,129.14,0.00,26.89,0.00,f,3.25,118.91,4.17,26.07,0.00,e,150
3.31,162.13,0.00,29.12,0.00,f,3.46,146.77,1.22,29.61,0.00,g,151
3.36,132.89,0.00,22.38,0.00,g,3.29,136.02,2.70,22.08,0.00,b,152
3.39,154.82,0.00,21.98,0.00,g,3.25,158.69,1.26,21.76,0.00,c,153
3.51,153.30,0.00,27.98,0.00,g,3.26,139.02,2.73,26.85,0.00,e,154
3.32,152.90,0.00,26.96,0.00,g,3.47,137.64,-0.19,26.39,0.00,g,155
3.56,140.45,0.00,26.00,0.00,e,3.25,144.72,5.00,27.60,0.00,b,156
3.68,156.91,0.00,10.00,0.00,e,3.33,184.61,-1.68,10.36,0.00,c,157
3.30,156.90,0.00,21.15,0.00,e,3.35,157.82,1.33,21.00,0.00,e,158
3.39,148.60,0.00,20.02,0.00,e,3.25,146.98,-1.70,19.72,0.00,g,159
3.30,136.28,0.00,18.11,0.00,f,3.30,134.65,4.46,17.77,0.00,b,160
3.53,163.00,0.00,27.43,0.00,f,3.25,144.60,-3.30,27.51,0.00,c,161
3.38,151.40,0.00,21.18,0.00,f,3.26,153.54,-0.22,20.93,0.00,e,162
3.35,183.42,0.00,24.00,0.00,f,3.49,156.34,1.45,22.35,0.00,g,163
3.42,157.97,0.00,23.67,0.00,g,3.25,164.93,2.68,23.56,0.00,b,164
3.30,158.81,0.00,19.13,0.00,g,3.33,157.99,1.41,19.41,0.00,c,165
3.37,155.51,0.00,23.01,0.00,g,3.29,161.22,-1.79,22.96,0.00,e,166
3.29,142.19,0.00,21.78,0.00,g,3.37,143.11,-4.74,21.51,0.00,g,167
3.75,150.40,0.00,10.00,0.00,e,3.27,175.58,-0.27,10.86,0.00,b,168
3.46,139.33,0.00,21.22,0.00,e,3.25,136.55,4.11,20.51,0.00,c,169
3.33,138.92,0.00,21.65,0.00,e,3.33,139.71,1.22,21.32,0.00,e,170
3.25,158.63,0.00,27.89,0.00,e,3.52,143.14,2.82,28.51,0.00,g,171
3.25,158.36,0.00,19.82,0.00,f,3.39,156.76,4.41,19.66,0.00,b,172
3.29,153.91,0.00,10.01,0.00,f,3.72,182.63,-2.95,10.00,0.00,c,173
3.31,144.05,0.00,20.13,0.00,f,3.31,144.26,-0.14,19.76,0.00,e,174
3.26,155.42,0.00,10.00,0.00,f,3.75,182.31,1.58,10.00,0.00,g,175
3.27,150.01,0.00,20.34,0.00,g,3.35,150.32,2.89,19.97,0.00,b,176
3.38,157.71,0.00,20.41,0.00,g,3.25,157.58,1.33,20.12,0.00,c,177
3.42,192.16,0.00,28.92,0.00,g,3.36,169.19,2.64,29.46,0.00,e,178
3.58,141.14,0.00,10.00,0.00,g,3.43,160.69,-0.16,10.00,0.00,g,179
3.77,149.48,0.00,10.02,0.00,e,3.26,177.91,-0.20,10.43,0.00,b,180
3.29,146.62,0.00,24.09,0.00,e,3.39,151.48,4.20,24.04,0.00,c,181
3.42,164.20,0.00,19.41,0.00,e,3.25,159.34,1.30,18.89,0.00,e,182
3.44,161.71,0.00,28.12,0.00,e,3.34,146.30,2.75,28.35,0.00,g,183
3.34,163.49,0.00,20.58,0.00,f,3.30,165.64,4.37,20.39,0.00,b,184
3.41,134.21,0.00,22.86,0.00,f,3.25,138.95,2.63,22.96,0.00,c,185
3.62,141.09,0.00,10.00,0.00,f,3.44,165.91,4.32,10.56,0.00,e,186
3.45,153.17,0.00,30.00,0.00,f,3.27,143.08,1.13,30.00,0.00,g,187
3.49,158.93,0.00,24.57,0.00,g,3.32,138.99,-3.19,24.37,0.00,b,188
3.37,148.61,0.00,21.73,0.00,g,3.26,151.58,1.26,21.60,0.00,c,189
3.29,126.40,0.00,21.00,0.00,g,3.32,129.36,-1.66,20.76,0.00,e,190
3.25,168.58,0.00,28.56,0.00,g,3.52,151.45,-0.22,27.87,0.00,g,191
3.35,140.32,0.00,11.27,0.00,e,3.68,163.61,-0.11,10.00,0.00,b,192
3.36,150.61,0.00,15.90,0.00,e,3.26,144.95,4.51,15.73,0.00,c,193
3.46,136.73,0.00,24.65,0.00,e,3.25,143.67,1.00,24.54,0.00,e,194
3.40,172.32,0.00,27.83,0.00,e,3.38,153.92,2.75,27.61,0.00,g,195
3.38,136.23,0.00,23.56,0.00,f,3.28,141.66,4.16,23.41,0.00,b,196
3.42,143.82,0.00,22.88,0.00,f,3.25,147.50,2.63,22.72,0.00,c,197
3.33,157.65,0.00,20.33,0.00,f,3.30,157.97,-0.14,20.06,0.00,e,198
3.34,154.17,0.00,10.00,0.00,f,3.69,182.18,1.55,10.00,0.00,g,199
